0.025,0.05,0.25,0.75,0.95,0.975,estimate,stat,method,data_seed,boot_seed,n_l3,n_l2,n_l1,rand_eff_dgp,replication_id
0.0,0.0,0.15572307420565185,0.5903903196974826,1.0057828134450892,1.198075100568163,0.4796665528308688,sd_l3,likelihood-profile,7751617413234519218,1878277811,5,4,8,norm,2
0.6027464677185919,0.6361518879856959,0.7566946008040097,0.9872682178432881,1.2209432443702946,1.3077268723864055,0.8607421964568578,sd_l2,likelihood-profile,7751617413234519218,1878277811,5,4,8,norm,2
-0.6986608124609884,-0.6986608124609884,-0.25740219846401,0.10691012475137016,0.360976131160416,0.360976131160416,-0.015081523561354372,mu,parametric-percentile-boot,7751617413234519218,1878277811,5,4,8,norm,2
0.0,0.0,0.0,0.5853742194583932,0.6562847282657415,0.6562847282657415,0.4796665528308688,sd_l3,parametric-percentile-boot,7751617413234519218,1878277811,5,4,8,norm,2
0.6264300861338696,0.6264300861338696,0.6836557004351862,0.8768325245127587,0.9706934484498058,0.9706934484498058,0.8607421964568578,sd_l2,parametric-percentile-boot,7751617413234519218,1878277811,5,4,8,norm,2
-0.9460870856808852,-0.9460870856808852,-0.5403454734689784,0.2522073060864946,0.3184778065204457,0.3184778065204457,-0.015081523561354372,mu,cases-percentile-boot,7751617413234519218,1878277811,5,4,8,norm,2
0.0,0.0,0.22916688004171,0.6808784213912588,1.144923057747237,1.144923057747237,0.4796665528308688,sd_l3,cases-percentile-boot,7751617413234519218,1878277811,5,4,8,norm,2
0.49440904982411793,0.49440904982411793,0.6247361817113101,0.9377462887033622,1.1272240774418547,1.1272240774418547,0.8607421964568578,sd_l2,cases-percentile-boot,7751617413234519218,1878277811,5,4,8,norm,2
-0.939144418944365,-0.939144418944365,-0.7583640018975676,0.3184778065204457,0.3184778065204457,0.3184778065204457,-0.015081523561354372,mu,cases-double-boot,7751617413234519218,1878277811,5,4,8,norm,2
0.0,0.0,0.06393235612409263,0.5320657822165774,1.144923057747237,1.144923057747237,0.4796665528308688,sd_l3,cases-double-boot,7751617413234519218,1878277811,5,4,8,norm,2
0.5655687818015112,0.5655687818015112,0.9053419820948736,1.1272240774418547,1.1272240774418547,1.1272240774418547,0.8607421964568578,sd_l2,cases-double-boot,7751617413234519218,1878277811,5,4,8,norm,2
-0.5767304655774943,-0.4295276666381151,-0.08160448304447297,0.317081091563405,0.6650043237213918,0.8122074892797086,0.11773827059212578,mu,likelihood-profile,14684418861307471019,1832933977,5,4,8,norm,3
0.0,0.14018359790531354,0.38419732861547784,0.7309616351248724,1.1572892628437197,1.3616899019602857,0.627700978337832,sd_l3,likelihood-profile,14684418861307471019,1832933977,5,4,8,norm,3
0.46311128514391503,0.4908987632592649,0.5902411503766445,0.7779878026100736,0.9694281875081542,1.0463405352122734,0.6752105392445213,sd_l2,likelihood-profile,14684418861307471019,1832933977,5,4,8,norm,3
-0.3854907706498091,-0.3854907706498091,-0.15749234478991478,0.46693130468786287,0.5713052397437896,0.5713052397437896,0.11773827059212578,mu,parametric-percentile-boot,14684418861307471019,1832933977,5,4,8,norm,3
0.3989579611664011,0.3989579611664011,0.5114092027276741,0.8965307615554735,1.2038440860222932,1.2038440860222932,0.627700978337832,sd_l3,parametric-percentile-boot,14684418861307471019,1832933977,5,4,8,norm,3
0.43986379239100476,0.43986379239100476,0.47800862025448443,0.6832689819102005,0.8226440276581392,0.8226440276581392,0.6752105392445213,sd_l2,parametric-percentile-boot,14684418861307471019,1832933977,5,4,8,norm,3
-0.34836874993984734,-0.34836874993984734,0.05657630169576909,0.27494238489078643,0.5963007022238949,0.5963007022238949,0.11773827059212578,mu,cases-percentile-boot,14684418861307471019,1832933977,5,4,8,norm,3
0.0,0.0,0.12432174179804384,0.5973131132224061,0.9258962329173043,0.9258962329173043,0.627700978337832,sd_l3,cases-percentile-boot,14684418861307471019,1832933977,5,4,8,norm,3
0.27498471759511606,0.27498471759511606,0.4495953338460852,0.937729109670617,1.0914315572967326,1.0914315572967326,0.6752105392445213,sd_l2,cases-percentile-boot,14684418861307471019,1832933977,5,4,8,norm,3
-0.34836874993984734,-0.34836874993984734,0.06099947247344859,0.25470503810213446,0.3445832957160249,0.3445832957160249,0.11773827059212578,mu,cases-double-boot,14684418861307471019,1832933977,5,4,8,norm,3
0.0,0.0,0.44707344677651495,0.5666635997070356,0.9258962329173043,0.9258962329173043,0.627700978337832,sd_l3,cases-double-boot,14684418861307471019,1832933977,5,4,8,norm,3
0.3153060012074232,0.3153060012074232,0.7379860905661759,1.0914315572967326,1.0914315572967326,1.0914315572967326,0.6752105392445213,sd_l2,cases-double-boot,14684418861307471019,1832933977,5,4,8,norm,3
-0.06866548554577398,-0.0406227467892466,0.04339794551473511,0.15799199883569442,0.24201269111121293,0.27005543042488517,0.10069497219216575,mu,likelihood-profile,10856316263473710281,1574589735,50,4,8,norm,0
0.39677643186391204,0.41514618655141433,0.47485930386319813,0.5692379335971013,0.6486421656880398,0.6770559834454868,0.5270746032408519,sd_l3,likelihood-profile,10856316263473710281,1574589735,50,4,8,norm,0
0.48507334849102557,0.49515818792019584,0.5278658511786697,0.5780037470970566,0.6179542015422371,0.6317141312981971,0.5522059069752469,sd_l2,likelihood-profile,10856316263473710281,1574589735,50,4,8,norm,0
-0.06188287661325537,-0.06188287661325537,-0.026967724895988233,0.08573449294327608,0.23847999948610726,0.23847999948610726,0.10069497219216575,mu,parametric-percentile-boot,10856316263473710281,1574589735,50,4,8,norm,0
0.4720499968732961,0.4720499968732961,0.5151042070814417,0.6323474167659824,0.6976403841556598,0.6976403841556598,0.5270746032408519,sd_l3,parametric-percentile-boot,10856316263473710281,1574589735,50,4,8,norm,0
0.506860966435311,0.506860966435311,0.5155713669906171,0.563163149668403,0.6154680143233306,0.6154680143233306,0.5522059069752469,sd_l2,parametric-percentile-boot,10856316263473710281,1574589735,50,4,8,norm,0
-0.07591064568503485,-0.07591064568503485,0.01361175280839172,0.09687941507544341,0.20430857780045503,0.20430857780045503,0.10069497219216575,mu,cases-percentile-boot,10856316263473710281,1574589735,50,4,8,norm,0
0.5370485237395589,0.5370485237395589,0.5968557738095362,0.6448490528017986,0.6740171347376778,0.6740171347376778,0.5270746032408519,sd_l3,cases-percentile-boot,10856316263473710281,1574589735,50,4,8,norm,0
0.4545042652052768,0.4545042652052768,0.4769810115607268,0.5288832828362442,0.5544228707882151,0.5544228707882151,0.5522059069752469,sd_l2,cases-percentile-boot,10856316263473710281,1574589735,50,4,8,norm,0
-0.07591064568503485,-0.07591064568503485,0.023471023538064864,0.20430857780045503,0.20430857780045503,0.20430857780045503,0.10069497219216575,mu,cases-double-boot,10856316263473710281,1574589735,50,4,8,norm,0
0.5370485237395589,0.5370485237395589,0.5370485237395589,0.5526017322447884,0.5526017322447884,0.5526017322447884,0.5270746032408519,sd_l3,cases-double-boot,10856316263473710281,1574589735,50,4,8,norm,0
0.530503556718221,0.530503556718221,0.5441607038913167,0.5544228707882151,0.5544228707882151,0.5544228707882151,0.5522059069752469,sd_l2,cases-double-boot,10856316263473710281,1574589735,50,4,8,norm,0
-0.18565175719407578,-0.15507659192299897,-0.06346832855437821,0.06147425792322915,0.15308252142113976,0.1836576873251764,-0.0009970353059999303,mu,likelihood-profile,6359352876902104282,1368517706,50,4,8,norm,1
0.460773908392609,0.4793359575805027,0.5406546697958248,0.6395086443421224,0.7237228187125193,0.7540062517477774,0.5951602977209953,sd_l3,likelihood-profile,6359352876902104282,1368517706,50,4,8,norm,1
0.4587075188216101,0.4685066143246576,0.5002466647966527,0.5488148417997732,0.5874428728701402,0.600737312652224,0.5238363941325419,sd_l2,likelihood-profile,6359352876902104282,1368517706,50,4,8,norm,1
-0.19476178409676584,-0.19476178409676584,-0.08718473138412433,0.12323130105517713,0.1366379180651129,0.1366379180651129,-0.0009970353059999303,mu,parametric-percentile-boot,6359352876902104282,1368517706,50,4,8,norm,1
